state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,abs_drift_num_digits,abs_drift_den_digits,abs_drift_num_mod_1000000007,abs_drift_den_mod_1000000007,abs_drift_num_mod_1000000009,abs_drift_den_mod_1000000009,source_probability_num_digits,source_probability_den_digits,source_probability_num_mod_1000000007,source_probability_den_mod_1000000007,source_probability_num_mod_1000000009,source_probability_den_mod_1000000009,drift_sign,base_level_flag,lift_extension_flag,eventual_cone_flag,boundary_defect_flag
29,5,5,2,1,1,9,9,261168701,204276978,261168701,204276978,8,9,56891723,204276978,56891723,204276978,8,9,56891723,204276978,56891723,204276978,3,5,243,52705,243,52705,1,1,0,1,0
30,5,6,2,6,5,8,8,46804952,34046163,46804952,34046163,8,9,29747782,170230815,29747782,170230815,8,9,29747782,170230815,29747782,170230815,3,5,648,52705,648,52705,1,1,0,1,0
31,5,7,2,7,5,8,8,34386827,22697442,34386827,22697442,8,9,13052041,113487210,13052041,113487210,8,9,13052041,113487210,13052041,113487210,4,5,1728,52705,1728,52705,1,1,0,1,0
32,5,8,2,8,5,7,7,6324161,3782907,6324161,3782907,7,8,1357549,18914535,1357549,18914535,7,8,1357549,18914535,1357549,18914535,4,5,4608,52705,4608,52705,1,1,0,1,0
33,5,9,2,9,5,7,6,1542355,840646,1542355,840646,6,7,145961,4203230,145961,4203230,6,7,145961,4203230,145961,4203230,5,5,12288,52705,12288,52705,1,1,0,1,0
34,5,10,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,5,5,32768,52705,32768,52705,0,1,0,1,0
35,6,0,3,0,1,7,8,3774237,23507743,3774237,23507743,7,8,3774237,23507743,3774237,23507743,7,8,3774237,23507743,3774237,23507743,2,6,64,420323,64,420323,1,1,0,1,0
36,6,1,3,1,6,8,8,21390233,47015486,21390233,47015486,8,8,20331478,70523229,20331478,70523229,8,8,20331478,70523229,20331478,70523229,2,6,96,420323,96,420323,1,1,0,1,0
37,6,2,2,1,3,8,9,93573079,141046458,93573079,141046458,8,9,46557593,141046458,46557593,141046458,8,9,46557593,141046458,46557593,141046458,3,6,144,420323,144,420323,1,1,0,1,0
38,6,3,3,1,2,9,9,711756431,846278748,711756431,846278748,9,9,288617057,846278748,288617057,846278748,9,9,288617057,846278748,288617057,846278748,3,6,216,420323,216,420323,1,1,0,1,0
39,6,4,2,2,3,10,10,600244777,538836230,600244773,538836226,9,10,907687295,538836230,907687295,538836226,9,10,907687295,538836230,907687295,538836226,3,6,324,420323,324,420323,1,1,0,1,0
40,6,5,1,5,6,1,1,8,7,8,7,2,2,13,42,13,42,2,2,13,42,13,42,3,6,486,420323,486,420323,1,1,0,1,0
41,6,6,2,1,1,10,10,132827487,712381514,132827473,712381504,10,10,420445980,712381514,420445978,712381504,10,10,420445980,712381514,420445978,712381504,3,6,729,420323,729,420323,1,1,0,1,0
42,6,7,2,7,6,10,10,523361307,904127176,523361303,904127174,9,10,603759215,808254345,603759215,808254339,9,10,603759215,808254345,603759215,808254339,4,6,1944,420323,1944,420323,1,1,0,1,0
43,6,8,2,4,3,9,9,916009910,634709061,916009910,634709061,8,9,69731162,634709061,69731162,634709061,8,9,69731162,634709061,69731162,634709061,4,6,5184,420323,5184,420323,1,1,0,1,0
44,6,9,2,3,2,9,9,333587971,211569687,333587971,211569687,8,9,32466881,423139374,32466881,423139374,8,9,32466881,423139374,32466881,423139374,5,6,13824,420323,13824,420323,1,1,0,1,0
45,6,10,2,5,3,9,8,121024124,70523229,121024124,70523229,7,8,1161803,23507743,1161803,23507743,7,8,1161803,23507743,1161803,23507743,5,6,36864,420323,36864,420323,1,1,0,1,0
46,6,11,2,11,6,8,8,43668797,23507743,43668797,23507743,7,9,3427609,141046458,3427609,141046458,7,9,3427609,141046458,3427609,141046458,5,6,98304,420323,98304,420323,1,1,0,1,0
47,6,12,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,6,6,262144,420323,262144,420323,0,1,0,1,0
48,7,0,3,0,1,8,9,30196695,214817752,30196695,214817752,8,9,30196695,214817752,30196695,214817752,8,9,30196695,214817752,30196695,214817752,3,7,128,3358249,128,3358249,1,1,0,1,0
49,7,1,3,1,7,9,9,171123787,429635504,171123787,429635504,9,10,768231005,7448507,768231005,7448501,9,10,768231005,7448507,768231005,7448501,3,7,192,3358249,192,3358249,1,1,0,1,0
50,7,2,2,2,7,9,10,748384517,288906505,748384517,288906503,10,10,660878581,22345521,660878577,22345503,10,10,660878581,22345521,660878577,22345503,3,7,288,3358249,288,3358249,1,1,0,1,0
51,7,3,3,3,7,10,10,694082058,733439023,694082048,733439009,11,11,658257323,134073126,658257291,134073018,11,11,658257323,134073126,658257291,134073018,3,7,432,3358249,432,3358249,1,1,0,1,0
52,7,4,2,4,7,9,9,214399813,239178528,214399813,239178528,9,10,544084579,674249689,544084579,674249687,9,10,544084579,674249689,544084579,674249687,3,7,648,3358249,648,3358249,1,1,0,1,0
53,7,5,2,5,7,11,11,949588138,600951165,949587996,600951027,12,12,642361120,206658127,642360810,206657153,12,12,642361120,206658127,642360810,206657153,3,7,972,3358249,972,3358249,1,1,0,1,0
54,7,6,1,6,7,1,1,9,8,9,8,2,2,15,56,15,56,2,2,15,56,15,56,4,7,1458,3358249,1458,3358249,1,1,0,1,0
55,7,7,2,1,1,12,12,566182426,602140116,566182044,602139804,11,12,964042317,602140116,964042249,602139804,11,12,964042317,602140116,964042249,602139804,4,7,2187,3358249,2187,3358249,1,1,0,1,0
56,7,8,2,8,7,9,9,346243001,269075844,346243001,269075844,9,10,271094255,883530901,271094255,883530899,9,10,271094255,883530901,271094255,883530899,4,7,5832,3358249,5832,3358249,1,1,0,1,0
57,7,9,2,9,7,11,11,164242601,400237793,164242553,400237759,11,12,547558091,801664537,547558067,801664295,11,12,547558091,801664537,547558067,801664295,5,7,15552,3358249,15552,3358249,1,1,0,1,0
58,7,10,2,10,7,10,10,182402871,450019819,182402867,450019817,9,11,776621935,150138712,776621935,150138692,9,11,776621935,150138712,776621935,150138692,5,7,41472,3358249,41472,3358249,1,1,0,1,0
59,7,11,2,11,7,8,8,32425487,19931544,32425487,19931544,7,9,7731425,139520808,7731425,139520808,7,9,7731425,139520808,7731425,139520808,6,7,110592,3358249,110592,3358249,1,1,0,1,0
60,7,12,2,12,7,9,9,564098603,322226628,564098603,322226628,8,10,81970685,255586382,81970685,255586378,8,10,81970685,255586382,81970685,255586378,6,7,294912,3358249,294912,3358249,1,1,0,1,0
61,7,13,2,13,7,9,9,402820013,214817752,402820013,214817752,8,10,27109315,503724257,27109315,503724255,8,10,27109315,503724257,27109315,503724255,6,7,786432,3358249,786432,3358249,1,1,0,1,0
62,7,14,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,7,7,2097152,3358249,2097152,3358249,0,1,0,1,0
63,8,0,3,0,1,8,9,80528087,644324691,80528087,644324691,8,9,80528087,644324691,80528087,644324691,8,9,80528087,644324691,80528087,644324691,3,8,256,26852219,256,26852219,1,1,0,1,0
64,8,1,3,1,8,10,10,369006042,865948125,369006040,865948119,10,11,543050102,463792479,543050096,463792449,10,11,543050102,463792479,543050096,463792449,3,8,384,26852219,384,26852219,1,1,0,1,0
65,8,2,2,1,4,10,11,986473452,597844361,986473442,597844339,10,11,174024713,195688715,174024701,195688669,10,11,174024713,195688715,174024701,195688669,3,8,576,26852219,576,26852219,1,1,0,1,0
66,8,3,3,3,8,11,11,553073228,587066145,553073138,587066007,11,12,915846849,174132283,915846773,174132005,11,12,915846849,174132283,915846773,174132005,3,8,864,26852219,864,26852219,1,1,0,1,0
67,8,4,2,1,2,12,12,358745061,761198428,358744729,761198012,11,12,978145854,761198428,978145732,761198012,11,12,978145854,761198428,978145732,761198012,4,8,1296,26852219,1296,26852219,1,1,0,1,0
68,8,5,2,5,8,12,12,535640856,283595270,535639706,283594018,12,13,216787621,567190540,216786885,567188036,12,13,216787621,567190540,216786885,567188036,4,8,1944,26852219,1944,26852219,1,1,0,1,0
69,8,6,2,3,4,13,13,112800052,850785810,112796154,850782054,12,12,987355356,425392905,987354818,425391027,12,12,987355356,425392905,987354818,425391027,4,8,2916,26852219,2916,26852219,1,1,0,1,0
70,8,7,1,7,8,2,1,10,9,10,9,2,2,17,72,17,72,2,2,17,72,17,72,4,8,4374,26852219,4374,26852219,1,1,0,1,0
71,8,8,2,1,1,13,13,437052510,414268062,437042350,414259608,12,13,22784448,414268062,22782742,414259608,12,13,22784448,414268062,22782742,414259608,4,8,6561,26852219,6561,26852219,1,1,0,1,0
72,8,9,2,9,8,13,13,162406693,138089354,162403153,138086536,13,14,56449358,104714825,56446400,104692279,13,14,56449358,104714825,56446400,104692279,5,8,17496,26852219,17496,26852219,1,1,0,1,0
73,8,10,2,5,4,12,12,258496468,712696456,258495204,712695518,12,13,470503613,850785810,470503253,850782054,12,13,470503613,850785810,470503253,850782054,5,8,46656,26852219,46656,26852219,1,1,0,1,0
74,8,11,2,11,8,12,12,901356359,570898821,901355907,570898509,11,13,930963841,567190540,930963657,567188036,11,13,930963841,567190540,930963657,567188036,6,8,124416,26852219,124416,26852219,1,1,0,1,0
75,8,12,2,3,2,11,11,276677339,190299607,276677177,190299503,10,12,982455864,380599214,982455854,380599006,10,12,982455864,380599214,982455854,380599006,6,8,331776,26852219,331776,26852219,1,1,0,1,0
76,8,13,2,13,8,11,11,5696052,396766538,5695994,396766504,10,12,887603464,174132283,887603454,174132005,10,12,887603464,174132283,887603454,174132005,6,8,884736,26852219,884736,26852219,1,1,0,1,0
77,8,14,2,7,4,11,10,310452066,798922184,310452046,798922174,9,11,649353011,195688715,649353011,195688669,9,11,649353011,195688715,649353011,195688669,7,8,2359296,26852219,2359296,26852219,1,1,0,1,0
78,8,15,2,15,8,10,9,217095836,644324691,217095834,644324691,8,10,71896379,154597493,71896379,154597483,8,10,71896379,154597493,71896379,154597483,7,8,6291456,26852219,6291456,26852219,1,1,0,1,0
79,8,16,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,8,8,16777216,26852219,16777216,26852219,0,1,0,1,0
80,9,0,3,0,1,10,11,932710792,180675271,932710790,180675237,10,11,932710792,180675271,932710790,180675237,10,11,932710792,180675271,932710790,180675237,3,9,512,214774897,512,214774897,1,1,0,1,0
81,9,1,3,1,9,11,11,952115549,361350542,952115529,361350474,11,12,207689343,252154857,207689215,252154239,11,12,207689343,252154857,207689215,252154239,3,9,768,214774897,768,214774897,1,1,0,1,0
82,9,2,2,2,9,11,12,889975012,84051619,889974918,84051413,11,12,947223945,252154857,947223797,252154239,11,12,947223945,252154857,947223797,252154239,4,9,1152,214774897,1152,214774897,1,1,0,1,0
83,9,3,3,1,3,12,12,426485921,504309714,426485193,504308478,12,12,258382683,504309714,258382367,504308478,12,12,258382683,504309714,258382367,504308478,4,9,1728,214774897,1728,214774897,1,1,0,1,0
84,9,4,2,4,9,13,13,823475951,512929135,823473291,512925425,12,13,151062999,512929135,151061987,512925425,12,13,151062999,512929135,151061987,512925425,4,9,2592,214774897,2592,214774897,1,1,0,1,0
85,9,5,2,5,9,13,13,101063311,538787398,101054103,538776266,13,13,579514762,538787398,579511740,538776266,13,13,579514762,538787398,579511740,538776266,4,9,3888,214774897,3888,214774897,1,1,0,1,0
86,9,6,2,2,3,13,13,443667927,923272443,443661691,923265765,12,13,828152972,923272443,828151190,923265765,12,13,828152972,923272443,828151190,923265765,4,9,5832,214774897,5832,214774897,1,1,0,1,0
87,9,7,2,7,9,14,14,446954457,849086554,446850445,848986358,14,14,675442699,849086554,675416619,848986358,14,14,675442699,849086554,675416619,848986358,4,9,8748,214774897,8748,214774897,1,1,0,1,0
88,9,8,1,8,9,2,2,11,10,11,10,2,2,19,90,19,90,2,2,19,90,19,90,5,9,13122,214774897,13122,214774897,1,1,0,1,0
89,9,9,2,1,1,15,15,213049745,410444736,212782913,410219292,14,15,802605016,410444736,802563630,410219292,14,15,802605016,410444736,802563630,410219292,5,9,19683,214774897,19683,214774897,1,1,0,1,0
90,9,10,2,10,9,14,14,185741423,68407456,185695157,68369882,13,14,665288698,68407456,665284182,68369882,13,14,665288698,68407456,665284182,68369882,5,9,52488,214774897,52488,214774897,1,1,0,1,0
91,9,11,2,11,9,14,14,205902876,712271642,205870018,712246594,13,14,224237542,712271642,224235300,712246594,13,14,224237542,712271642,224235300,712246594,6,9,139968,214774897,139968,214774897,1,1,0,1,0
92,9,12,2,4,3,13,13,609366350,452045276,609360488,452041102,12,13,339972651,452045276,339972355,452041102,12,13,339972651,452045276,339972355,452041102,6,9,373248,214774897,373248,214774897,1,1,0,1,0
93,9,13,2,13,9,12,12,947101690,326939372,947100856,326938816,11,12,919300378,326939372,919300348,326938816,11,12,919300378,326939372,919300348,326938816,6,9,995328,214774897,995328,214774897,1,1,0,1,0
94,9,14,2,14,9,12,12,243525175,939116148,243524433,939115686,11,12,449344512,939116148,449344492,939115686,11,12,449344512,939116148,449344492,939115686,7,9,2654208,214774897,2654208,214774897,1,1,0,1,0
95,9,15,2,5,3,12,12,898381737,626077432,898381213,626077124,10,12,188252686,626077432,188252676,626077124,10,12,188252686,626077432,188252676,626077124,7,9,7077888,214774897,7077888,214774897,1,1,0,1,0
96,9,16,2,16,9,11,11,389753907,771012910,389753815,771012860,10,11,723859560,313038716,723859558,313038562,10,11,723859560,313038716,723859558,313038562,8,9,18874368,214774897,18874368,214774897,1,1,0,1,0
97,9,17,2,17,9,11,11,643634049,180675271,643633985,180675237,10,12,721226820,626077432,721226818,626077124,10,12,721226820,626077432,721226818,626077124,8,9,50331648,214774897,50331648,214774897,1,1,0,1,0
98,9,18,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,9,9,134217728,214774897,134217728,214774897,0,1,0,1,0
99,10,0,3,0,1,11,12,461805636,185530770,461805606,185530468,11,12,461805636,185530770,461805606,185530468,11,12,461805636,185530770,461805606,185530468,4,10,1024,718067532,1024,718067530,1,1,0,1,0
100,10,1,3,1,10,11,12,617165960,371061540,617165786,371060936,12,12,450149508,927653850,450149222,927652340,12,12,450149508,927653850,450149222,927652340,4,10,1536,718067532,1536,718067530,1,1,0,1,0
101,10,2,2,1,5,12,12,114353166,113184613,114352400,113182799,13,13,458581217,565923065,458579201,565913995,13,13,458581217,565923065,458579201,565913995,4,10,2304,718067532,2304,718067530,1,1,0,1,0
102,10,3,3,3,10,13,13,418887178,679107678,418881348,679096794,13,14,75774366,395538369,75761540,395483943,13,14,75774366,395538369,75761540,395483943,4,10,3456,718067532,3456,718067530,1,1,0,1,0
103,10,4,2,2,5,14,14,448436941,37323020,448415649,37290364,14,14,167538651,186615100,167497499,186451820,14,14,167538651,186615100,167497499,186451820,4,10,5184,718067532,5184,718067530,1,1,0,1,0
104,10,5,2,1,2,14,14,254574137,111969060,254500473,111871092,14,14,198589607,111969060,198564927,111871092,14,14,198589607,111969060,198564927,111871092,4,10,7776,718067532,7776,718067530,1,1,0,1,0
105,10,6,2,3,5,15,15,683337150,335907180,683087680,335613276,15,15,408964196,679535893,408598554,678066371,15,15,408964196,679535893,408598554,678066371,5,10,11664,718067532,11664,718067530,1,1,0,1,0
106,10,7,2,7,10,15,15,192505205,7721533,191673117,6839819,15,16,435500656,38607665,434426214,34199095,15,16,435500656,38607665,434426214,34199095,5,10,17496,718067532,17496,718067530,1,1,0,1,0
107,10,8,2,4,5,16,16,772296019,23164599,769552251,20519457,16,16,768821678,115822995,765683400,102597285,16,16,768821678,115822995,765683400,102597285,5,10,26244,718067532,26244,718067530,1,1,0,1,0
108,10,9,1,9,10,2,2,12,11,12,11,2,3,21,110,21,110,2,3,21,110,21,110,5,10,39366,718067532,39366,718067530,1,1,0,1,0
109,10,10,2,1,1,16,16,142456003,802120353,135504069,796168785,15,16,340335657,802120353,339335293,796168785,15,16,340335657,802120353,339335293,796168785,5,10,59049,718067532,59049,718067530,1,1,0,1,0
110,10,11,2,11,10,16,15,286273740,267373451,283871774,265389595,16,16,921629446,673734496,919432204,653895932,16,16,921629446,673734496,919432204,653895932,6,10,157464,718067532,157464,718067530,1,1,0,1,0
111,10,12,2,6,5,15,15,228821871,755791155,227973061,755129871,15,16,609362453,778955754,609086115,775649328,15,16,609362453,778955754,609086115,775649328,6,10,419904,718067532,419904,718067530,1,1,0,1,0
112,10,13,2,13,10,15,15,266353755,251930385,266052275,251709957,14,16,388442552,519303836,388293318,517099552,14,16,388442552,519303836,388293318,517099552,7,10,1119744,718067532,1119744,718067530,1,1,0,1,0
113,10,14,2,7,5,14,14,128679605,83976795,128572619,83903319,14,15,55560460,419883975,55539862,419516595,14,15,55560460,419883975,55539862,419516595,7,10,2985984,718067532,2985984,718067530,1,1,0,1,0
114,10,15,2,3,2,14,14,636591765,27992265,636553901,27967773,13,14,189206728,55984530,189204474,55935546,13,14,189206728,55984530,189204474,55935546,7,10,7962624,718067532,7962624,718067530,1,1,0,1,0
115,10,16,2,8,5,13,13,510424582,9330755,510411222,9322591,12,14,477476856,46653775,477475364,46612955,12,14,477476856,46653775,477475364,46612955,8,10,21233664,718067532,21233664,718067530,1,1,0,1,0
116,10,17,2,17,10,13,13,351536057,669776923,351531357,669774203,12,14,129152935,697769188,129152191,697741976,12,14,129152935,697769188,129152191,697741976,8,10,56623104,718067532,56623104,718067530,1,1,0,1,0
117,10,18,2,9,5,12,12,660113932,556592310,660112284,556591404,11,13,291238884,782961536,291238802,782957002,11,13,291238884,782961536,291238802,782957002,9,10,150994944,718067532,150994944,718067530,1,1,0,1,0
118,10,19,2,19,10,12,12,627991861,185530770,627991285,185530468,11,13,754833966,855307693,754833940,855304671,11,13,754833966,855307693,754833940,855304671,9,10,402653184,718067532,402653184,718067530,1,1,0,1,0
119,10,20,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,10,10,73741817,718067532,73741815,718067530,0,1,0,1,0
120,11,0,3,0,1,11,12,231607182,807591339,231607100,807590461,11,12,231607182,807591339,231607100,807590461,11,12,231607182,807591339,231607100,807590461,4,11,2048,744139166,2048,744139140,1,1,0,1,0
121,11,1,3,1,11,12,13,938132375,845548006,938130975,845542730,13,14,473908056,301028003,473897914,300969949,13,14,473908056,301028003,473897914,300969949,4,11,3072,744139166,3072,744139140,1,1,0,1,0
122,11,2,2,2,11,13,13,898466253,536644004,898460125,536628172,14,14,809840719,903084009,809804959,902909847,14,14,809840719,903084009,809804959,902909847,4,11,4608,744139166,4608,744139140,1,1,0,1,0
123,11,3,3,3,11,14,14,374695808,219864003,374649162,219769005,15,15,462061858,418504019,461833740,417459037,15,15,462061858,418504019,461833740,417459037,4,11,6912,744139166,6912,744139140,1,1,0,1,0
124,11,4,2,4,11,14,15,169549520,659592009,169379178,659307015,15,16,226676691,255512050,225942907,252377102,15,16,226676691,255512050,225942907,252377102,5,11,10368,744139166,10368,744139140,1,1,0,1,0
125,11,5,2,5,11,15,15,371312395,978776020,370723083,977921036,16,16,190556252,766536150,188348742,757131306,16,16,190556252,766536150,188348742,757131306,5,11,15552,744139166,15552,744139140,1,1,0,1,0
126,11,6,2,6,11,15,16,254162852,936328046,252167094,933763090,16,17,177823117,299608436,171259521,271393900,16,17,177823117,299608436,171259521,271393900,5,11,23328,744139166,23328,744139140,1,1,0,1,0
127,11,7,2,7,11,16,16,287633902,808984124,280977240,801289252,16,17,501084075,898825308,481724903,814181700,16,17,501084075,898825308,481724903,814181700,5,11,34992,744139166,34992,744139140,1,1,0,1,0
128,11,8,2,8,11,17,17,647274413,426952358,625324413,403867738,17,18,704399658,696475910,647626612,442545082,17,18,704399658,696475910,647626612,442545082,5,11,52488,744139166,52488,744139140,1,1,0,1,0
129,11,9,2,9,11,17,17,712814677,280857067,641080929,211603205,17,18,313247809,89427716,147461329,327635237,17,18,313247809,89427716,147461329,327635237,5,11,78732,744139166,78732,744139140,1,1,0,1,0
130,11,10,1,10,11,2,2,13,12,13,12,2,3,23,132,23,132,2,3,23,132,23,132,6,11,118098,744139166,118098,744139140,1,1,0,1,0
131,11,11,2,1,1,17,17,67870142,381928399,887927385,226107209,17,17,685941750,381928399,661820176,226107209,17,17,685941750,381928399,661820176,226107209,6,11,177147,744139166,177147,744139140,1,1,0,1,0
132,11,12,2,12,11,17,17,352918168,230321401,321923598,204351203,17,18,118243029,533535397,88945133,247863215,17,18,118243029,533535397,88945133,247863215,6,11,472392,744139166,472392,744139140,1,1,0,1,0
133,11,13,2,13,11,17,16,780066561,820214272,758250745,802900808,16,17,917946656,22356929,903047718,831908816,16,17,917946656,22356929,903047718,831908816,7,11,1259712,744139166,1259712,744139140,1,1,0,1,0
134,11,14,2,14,11,15,15,61284567,401684525,59355413,400241737,15,16,50546922,418529747,49525270,402659071,15,16,50546922,418529747,49525270,402659071,7,11,3359232,744139166,3359232,744139140,1,1,0,1,0
135,11,15,2,15,11,16,15,913302586,202246031,910574604,200322313,15,17,12637932,224706327,11485886,203545425,15,17,12637932,224706327,11485886,203545425,7,11,8957952,744139166,8957952,744139140,1,1,0,1,0
136,11,16,2,16,11,15,15,530599850,867041011,530118752,866720393,14,16,963942237,537451058,963780065,533924242,14,16,963942237,537451058,963780065,533924242,8,11,23887872,744139166,23887872,744139140,1,1,0,1,0
137,11,17,2,17,11,15,15,54823398,244694005,54484924,244480259,14,16,443259321,691634041,443169797,689282831,14,16,443259321,691634041,443169797,689282831,8,11,63700992,744139166,63700992,744139140,1,1,0,1,0
138,11,18,2,18,11,14,13,156880003,103724501,156850315,103706689,13,14,858639022,140969504,858633072,140773570,13,14,858639022,140969504,858633072,140773570,9,11,169869312,744139166,169869312,744139140,1,1,0,1,0
139,11,19,2,19,11,14,14,223087676,804966006,223046114,804942258,13,15,159610413,854626010,159604469,854364766,13,15,159610413,854626010,159604469,854364766,9,11,452984832,744139166,452984832,744139140,1,1,0,1,0
