shell,support_size_k,power,quotient_coefficient
8,0,0,0
8,1,0,44520663
8,1,1,5101998
8,1,2,2622345
8,1,3,142692
8,1,4,72105
8,1,5,1518
8,1,6,759
8,2,0,68314224
8,2,1,19843296
8,2,2,10480272
8,2,3,1117248
8,2,4,570768
8,2,5,24288
8,2,6,12144
8,3,0,77938119
8,3,1,36436878
8,3,2,23546457
8,3,3,3688740
8,3,4,1905849
8,3,5,122958
8,3,6,61479
8,4,0,78309120
8,4,1,50449920
8,4,2,40116480
8,4,3,8549376
8,4,4,4468992
8,4,5,388608
8,4,6,194304
8,5,0,73035111
8,5,1,59808462
8,5,2,57804153
8,5,3,15986724
8,5,4,8633625
8,5,5,948750
8,5,6,474375
8,6,0,64415088
8,6,1,65129184
8,6,2,72546192
8,6,3,26879040
8,6,4,14423184
8,6,5,1967328
8,6,6,983664
8,7,0,53439159
8,7,1,69719406
8,7,2,78933993
8,7,3,41699940
8,7,4,22506441
8,7,5,3312942
8,7,6,1822359
8,8,0,39788544
8,8,1,79577088
8,8,2,70213632
8,8,3,60850176
8,8,4,33202176
8,8,5,5554176
8,8,6,2777088
8,9,0,33447735
8,9,1,61918830
8,9,2,89711145
8,9,3,61765092
8,9,4,47142729
8,9,5,9296046
8,9,6,4648023
8,10,0,26835312
8,10,1,48362208
8,10,2,95136144
8,10,3,67592256
8,10,4,59633808
8,10,5,14516448
8,10,6,7258224
8,11,0,20682471
8,11,1,37383630
8,11,2,91623993
8,11,3,73205412
8,11,4,71603097
8,11,5,20897934
8,11,6,10780743
8,12,0,14743296
8,12,1,29486592
8,12,2,83296512
8,12,3,73405440
8,12,4,83296512
8,12,5,29486592
8,12,6,14743296
8,13,0,10780743
8,13,1,20897934
8,13,2,71603097
8,13,3,73205412
8,13,4,91623993
8,13,5,37383630
8,13,6,20682471
8,14,0,7258224
8,14,1,14516448
8,14,2,59633808
8,14,3,67592256
8,14,4,95136144
8,14,5,48362208
8,14,6,26835312
8,15,0,4648023
8,15,1,9296046
8,15,2,47142729
8,15,3,61765092
8,15,4,89711145
8,15,5,61918830
8,15,6,33447735
8,16,0,2777088
8,16,1,5554176
8,16,2,33202176
8,16,3,60850176
8,16,4,70213632
8,16,5,79577088
8,16,6,39788544
8,17,0,1822359
8,17,1,3312942
8,17,2,22506441
8,17,3,41699940
8,17,4,78933993
8,17,5,69719406
8,17,6,53439159
8,18,0,983664
8,18,1,1967328
8,18,2,14423184
8,18,3,26879040
8,18,4,72546192
8,18,5,65129184
8,18,6,64415088
8,19,0,474375
8,19,1,948750
8,19,2,8633625
8,19,3,15986724
8,19,4,57804153
8,19,5,59808462
8,19,6,73035111
8,20,0,194304
8,20,1,388608
8,20,2,4468992
8,20,3,8549376
8,20,4,40116480
8,20,5,50449920
8,20,6,78309120
8,21,0,61479
8,21,1,122958
8,21,2,1905849
8,21,3,3688740
8,21,4,23546457
8,21,5,36436878
8,21,6,77938119
8,22,0,12144
8,22,1,24288
8,22,2,570768
8,22,3,1117248
8,22,4,10480272
8,22,5,19843296
8,22,6,68314224
8,23,0,759
8,23,1,1518
8,23,2,72105
8,23,3,142692
8,23,4,2622345
8,23,5,5101998
8,23,6,44520663
8,24,0,0
12,0,0,0
12,1,0,135199816976
12,1,1,24259000864
12,1,2,12798302160
12,1,3,1337603456
12,1,4,689960992
12,1,5,42318528
12,1,6,21519904
12,1,7,721280
12,1,8,363216
12,1,9,5152
12,1,10,2576
12,2,0,174347199488
12,2,1,91851999232
12,2,2,50946438144
12,2,3,10040877056
12,2,4,5341923328
12,2,5,642969600
12,2,6,332695552
12,2,7,22421504
12,2,8,11375616
12,2,9,329728
12,2,10,164864
12,3,0,167424694416
12,3,1,142217589024
12,3,2,113750278992
12,3,3,31774135680
12,3,4,17430704928
12,3,5,3087274176
12,3,6,1626264864
12,3,7,165255552
12,3,8,84505680
12,3,9,3755808
12,3,10,1877904
12,4,0,141931642880
12,4,1,161557381120
12,4,2,177215176704
12,4,3,70567067648
12,4,4,39905001472
12,4,5,9242935296
12,4,6,4959109120
12,4,7,675282944
12,4,8,348192768
12,4,9,21102592
12,4,10,10551296
12,5,0,112017246608
12,5,1,155237421856
12,5,2,221639908944
12,5,3,119871777152
