source_builder,assigned_builder,cost_L2
BASIN_SWITCHER,BASIN_SWITCHER,0.0
BLUFF_REVEAL,BLUFF_REVEAL,0.0
CURVATURE_ZERO,CURVATURE_ZERO,0.0
DIVERGENCE_MIN,DIVERGENCE_MIN,0.0
EMERGENCE_SEEKER,EMERGENCE_SEEKER,0.0
FACE12_ANCHOR,FACE12_ANCHOR,0.0
FACE15_ANCHOR,FACE15_ANCHOR,0.0
FACE17_ANCHOR,FACE17_ANCHOR,0.0
H2047_PURIST,H2047_PURIST,0.0
H954_CORRIDOR,H954_CORRIDOR,0.0
MONODROME_PURIST,MONODROME_PURIST,0.0
Q4_BALANCER,Q4_BALANCER,0.0
ROBUST_REVEAL,ROBUST_REVEAL,0.0
SIGMA_MIN,SIGMA_MIN,0.0
SPREAD_CONTROL,SPREAD_CONTROL,0.0
STOCHASTIC_CONTROL,STOCHASTIC_CONTROL,0.0
