candidate_id,source_node_id,target_node_id,undirected_left_node_id,undirected_right_node_id,source_signature_count,target_signature_count,signature_variation,existing_rewrite_edge_flag,trace_edge_flag,ambient_geodesic_edge_flag,post_chord_delta_twice,best_delta_witness_count,prefix_tail_best_delta_witness_count,delta_penalty_removed_flag,closure_path_count_retained,bridge_variation_retained,prefix_to_baseline_shortcut_flag
0,42,45,42,45,183,148,35,1,0,0,2,105,72,1,24,22,0
1,27,29,27,29,146,169,23,1,0,0,2,114,79,1,24,22,0
2,44,54,44,54,185,134,51,1,0,0,2,114,87,1,24,22,0
3,28,31,28,31,169,151,18,1,0,0,2,117,71,1,24,22,1
4,34,50,34,50,177,146,31,1,0,0,2,117,77,1,24,22,1
5,27,28,27,28,146,169,23,1,0,0,3,1,1,0,24,22,0
6,29,42,29,42,169,183,14,1,0,0,3,1,1,0,24,22,0
7,34,54,34,54,177,134,43,1,0,0,3,1,1,0,24,22,0
8,44,50,44,50,185,146,39,1,0,0,3,1,0,0,24,22,0
9,31,34,31,34,151,177,26,1,0,0,3,2,2,0,24,22,0
10,44,45,44,45,185,148,37,1,0,0,3,2,2,0,24,22,0
11,28,44,28,44,169,185,16,1,0,0,4,1,1,0,24,22,0
12,29,34,29,34,169,177,8,1,0,0,4,2,2,0,24,22,0
13,48,50,48,50,132,146,14,1,0,0,4,2,1,0,24,22,0
14,42,50,42,50,183,146,37,1,0,0,4,5,2,0,24,22,0
15,29,44,29,44,169,185,16,1,0,0,4,6,6,0,24,22,0
