consequence,statement,formula,game_theory_meaning
finite game board,d20 is a 20-face finite board with a 30-edge legal move graph,"Γ_d20=(Λ^3H6,E30)",turns d20 into a playable finite control system
full state universe,all relabelings of the board are states,|S20|=20!,game configurations are addressable by rank/unrank
macro-strategy atlas,the 20! states compress to 627 cycle-type classes,partitions of 20,first useful classification of strategic macro-states
closed tactical memory,there are 11 primitive H-cycles,β1=30-20+1=11,game histories can carry residue beyond final position
move costs are geometric,edge and turn costs come from H6 weights,"w=(384,192,144,576,512,768)","strategy depends on terrain, not just distance"
public vs hidden information,A12 can miss residues visible in A985,sector 33,enables bluff/trap/extractor mechanics
Pin/CY layers,A42 retains sign/sheet data; A12 is terminal readout,A42→A12,formalizes imperfect information and projected score
entropy scoring,closed order-5 packets score 32,5ε0/(4|W(D6)|)=32,gives loop scoring / resource conversion
AI/control bridge,rank/unrank + Bellman cost gives exact finite planning problem,V(π)=min_e[L+V(τ_eπ)],d20 becomes a benchmark control/game environment
topological/holographic bridge,projections and H-cycles act like boundary readouts of hidden transport,A985→A42→A12,throughline to AQFT/Carroll/pro-tensor models
