solution_name,variable,value_mod_1000003
source_fixture,"g[0,0]",2
source_fixture,"g[0,1]",3
source_fixture,"g[1,0]",5
source_fixture,"g[1,1]",7
source_fixture,"ginv[0,0]",999996
source_fixture,"ginv[0,1]",3
source_fixture,"ginv[1,0]",5
source_fixture,"ginv[1,1]",1000001
source_fixture,det_g,1000002
solved_from_candidate,"g[0,0]",999989
solved_from_candidate,"g[0,1]",999982
solved_from_candidate,"g[1,0]",999968
solved_from_candidate,"g[1,1]",999954
solved_from_candidate,"ginv[0,0]",1
solved_from_candidate,"ginv[0,1]",857145
solved_from_candidate,"ginv[1,0]",428572
solved_from_candidate,"ginv[1,1]",428573
solved_from_candidate,det_g,999954
