job_id,validation_case_id,control_code,opcode_family_code,dft_job_flag,negf_job_flag,observable_class_count,protocol_only_flag,physical_result_present_flag
0,0,0,2,1,1,8,1,0
1,0,1,2,1,1,8,1,0
2,0,2,2,1,1,8,1,0
3,0,3,2,1,1,8,1,0
4,0,4,2,1,1,8,1,0
5,0,5,2,1,1,8,1,0
6,1,0,2,1,1,8,1,0
7,1,1,2,1,1,8,1,0
8,1,2,2,1,1,8,1,0
9,1,3,2,1,1,8,1,0
10,1,4,2,1,1,8,1,0
11,1,5,2,1,1,8,1,0
12,2,0,1,1,1,8,1,0
13,2,1,1,1,1,8,1,0
14,2,2,1,1,1,8,1,0
15,2,3,1,1,1,8,1,0
16,2,4,1,1,1,8,1,0
17,2,5,1,1,1,8,1,0
18,3,0,1,1,1,8,1,0
19,3,1,1,1,1,8,1,0
20,3,2,1,1,1,8,1,0
21,3,3,1,1,1,8,1,0
22,3,4,1,1,1,8,1,0
23,3,5,1,1,1,8,1,0
24,4,0,1,1,1,8,1,0
25,4,1,1,1,1,8,1,0
26,4,2,1,1,1,8,1,0
27,4,3,1,1,1,8,1,0
28,4,4,1,1,1,8,1,0
29,4,5,1,1,1,8,1,0
30,5,0,1,1,1,8,1,0
31,5,1,1,1,1,8,1,0
32,5,2,1,1,1,8,1,0
33,5,3,1,1,1,8,1,0
34,5,4,1,1,1,8,1,0
35,5,5,1,1,1,8,1,0
36,6,0,0,1,1,8,1,0
37,6,1,0,1,1,8,1,0
38,6,2,0,1,1,8,1,0
39,6,3,0,1,1,8,1,0
40,6,4,0,1,1,8,1,0
41,6,5,0,1,1,8,1,0
42,7,0,0,1,1,8,1,0
43,7,1,0,1,1,8,1,0
44,7,2,0,1,1,8,1,0
45,7,3,0,1,1,8,1,0
46,7,4,0,1,1,8,1,0
47,7,5,0,1,1,8,1,0
48,8,0,0,1,1,8,1,0
49,8,1,0,1,1,8,1,0
50,8,2,0,1,1,8,1,0
51,8,3,0,1,1,8,1,0
52,8,4,0,1,1,8,1,0
53,8,5,0,1,1,8,1,0
54,9,0,0,1,1,8,1,0
55,9,1,0,1,1,8,1,0
56,9,2,0,1,1,8,1,0
57,9,3,0,1,1,8,1,0
58,9,4,0,1,1,8,1,0
59,9,5,0,1,1,8,1,0
60,10,0,0,1,1,8,1,0
61,10,1,0,1,1,8,1,0
62,10,2,0,1,1,8,1,0
63,10,3,0,1,1,8,1,0
64,10,4,0,1,1,8,1,0
65,10,5,0,1,1,8,1,0
66,11,0,0,1,1,8,1,0
67,11,1,0,1,1,8,1,0
68,11,2,0,1,1,8,1,0
69,11,3,0,1,1,8,1,0
70,11,4,0,1,1,8,1,0
71,11,5,0,1,1,8,1,0
72,12,0,1,1,1,8,1,0
73,12,1,1,1,1,8,1,0
74,12,2,1,1,1,8,1,0
75,12,3,1,1,1,8,1,0
76,12,4,1,1,1,8,1,0
77,12,5,1,1,1,8,1,0
