closed_path_id,repair_id,target_word_id,path_symbol_length,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,symbol_4_id,symbol_5_id,symbol_6_id,simple_closed_walk_flag,no_intermediate_origin_flag,repeated_interior_carrier_count,bounded_scope_eligible_flag,exact_bounded_match_flag,bounded_candidate_id,bounded_rank_order,bounded_trace_detour_overhead,bounded_signature_valley_depth,bounded_metric_gromov_delta_twice,bounded_trace_signature_total_variation,outside_reason_code
0,0,0,6,2,1,4,5,2,5,-1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,1
1,0,0,6,2,1,4,5,2,5,-1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,1
2,0,0,6,2,1,4,5,2,5,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
3,0,0,6,2,1,4,5,2,5,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
4,0,0,6,2,1,4,5,2,5,-1,0,1,1,1,1,4,5,3,37,1,127,0
5,0,0,6,2,1,4,5,2,5,-1,0,1,1,1,1,8,9,3,37,1,127,0
6,0,0,6,2,1,4,5,2,5,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
7,0,0,6,2,1,4,5,2,5,-1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,2
8,1,1,7,2,1,5,2,5,4,3,0,1,1,1,1,121,122,3,37,1,169,0
9,1,1,7,2,1,5,2,5,4,3,0,1,1,1,1,122,123,3,37,1,169,0
10,1,1,7,2,1,5,2,5,4,3,0,1,1,1,1,123,124,3,37,1,169,0
11,1,1,7,2,1,5,2,5,4,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
12,1,1,7,2,1,5,2,5,4,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
13,1,1,7,2,1,5,2,5,4,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
14,1,1,7,2,1,5,2,5,4,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
15,1,1,7,2,1,5,2,5,4,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
16,1,1,7,2,1,5,2,5,4,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,2
17,1,1,7,2,1,5,2,5,4,3,0,0,1,0,0,-1,-1,-1,-1,-1,-1,2
18,1,1,7,2,1,5,2,5,4,3,0,0,1,0,0,-1,-1,-1,-1,-1,-1,2
19,1,1,7,2,1,5,2,5,4,3,0,0,1,0,0,-1,-1,-1,-1,-1,-1,2
