,B-,B+,V-,V+,S-,S+
BASIN_SWITCHER,0.0,0.0,0.0,0.0,0.0,0.0
BLUFF_REVEAL,0.044921875,0.044921875,0.00651041666666665,0.00651041666666665,0.00651041666666665,0.00651041666666665
CURVATURE_ZERO,0.09375,0.09375,0.0009765625,0.0009765625,0.0009765625,0.0009765625
DIVERGENCE_MIN,0.0,0.0,0.0,0.0,0.0,0.0
EMERGENCE_SEEKER,0.0,0.0,0.0,0.0,0.0,0.0
FACE12_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0
FACE15_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0
FACE17_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0
H2047_PURIST,0.05078125,0.05078125,0.0,0.0,0.0,0.0
H954_CORRIDOR,0.0,0.0,0.0,0.0,0.0,0.0
MONODROME_PURIST,0.060546875,0.060546875,0.000325520833333325,0.000325520833333325,0.000325520833333325,0.000325520833333325
Q4_BALANCER,0.017578125,0.017578125,0.0,0.0,0.0,0.0
ROBUST_REVEAL,0.06640625,0.06640625,0.001302083333333325,0.001302083333333325,0.001302083333333325,0.001302083333333325
SIGMA_MIN,0.06510416666666664,0.06510416666666664,0.00162760416666665,0.00162760416666665,0.00162760416666665,0.00162760416666665
SPREAD_CONTROL,0.0325520833333333,0.0325520833333333,0.000325520833333325,0.000325520833333325,0.000325520833333325,0.000325520833333325
STOCHASTIC_CONTROL,0.0,0.0,0.0,0.0,0.0,0.0
