vertex_id,x_x1e12,y_x1e12,z_x1e12
0,0,-333333333333,-1618033988750
1,-539344662917,-666666666667,-1412022659167
2,539344662917,-666666666667,-1412022659167
3,333333333333,-1206011329583,-1078689325833
4,-333333333333,-1206011329583,-1078689325833
5,0,333333333333,-1618033988750
6,-539344662917,666666666667,-1412022659167
7,539344662917,666666666667,-1412022659167
8,333333333333,1206011329583,-1078689325833
9,-333333333333,1206011329583,-1078689325833
10,-1078689325833,-333333333333,-1206011329583
11,-1078689325833,333333333333,-1206011329583
12,-1412022659167,539344662917,-666666666667
13,-1618033988750,0,-333333333333
14,-1412022659167,-539344662917,-666666666667
15,1078689325833,-333333333333,-1206011329583
16,1078689325833,333333333333,-1206011329583
17,1412022659167,539344662917,-666666666667
18,1618033988750,0,-333333333333
19,1412022659167,-539344662917,-666666666667
20,666666666667,1412022659167,-539344662917
21,1206011329583,1078689325833,-333333333333
22,666666666667,1412022659167,539344662917
23,1206011329583,1078689325833,333333333333
24,333333333333,1618033988750,0
25,333333333333,1206011329583,1078689325833
26,539344662917,666666666667,1412022659167
27,-333333333333,1206011329583,1078689325833
28,0,333333333333,1618033988750
29,-539344662917,666666666667,1412022659167
30,1618033988750,0,333333333333
31,1412022659167,539344662917,666666666667
32,1078689325833,333333333333,1206011329583
33,1078689325833,-333333333333,1206011329583
34,1412022659167,-539344662917,666666666667
35,-666666666667,1412022659167,-539344662917
36,-1206011329583,1078689325833,-333333333333
37,-333333333333,1618033988750,0
38,-666666666667,1412022659167,539344662917
39,-1206011329583,1078689325833,333333333333
40,0,-333333333333,1618033988750
41,539344662917,-666666666667,1412022659167
42,333333333333,-1206011329583,1078689325833
43,-539344662917,-666666666667,1412022659167
44,-333333333333,-1206011329583,1078689325833
45,666666666667,-1412022659167,-539344662917
46,1206011329583,-1078689325833,-333333333333
47,1206011329583,-1078689325833,333333333333
48,666666666667,-1412022659167,539344662917
49,333333333333,-1618033988750,0
50,-1618033988750,0,333333333333
51,-1078689325833,333333333333,1206011329583
52,-1412022659167,539344662917,666666666667
53,-1078689325833,-333333333333,1206011329583
54,-1412022659167,-539344662917,666666666667
55,-666666666667,-1412022659167,-539344662917
56,-1206011329583,-1078689325833,-333333333333
57,-666666666667,-1412022659167,539344662917
58,-333333333333,-1618033988750,0
59,-1206011329583,-1078689325833,333333333333
