,B-,B+,V-,V+,S-,S+
BLUFF_ENGINE,0.8575624082232011,0.1277533039647577,0.003671071953010269,0.003671071953010269,0.003671071953010269,0.003671071953010269
CURVATURE_INJECTOR,1.0,0.0,0.0,0.0,0.0,0.0
DIVERGENCE_TAX,1.0,0.0,0.0,0.0,0.0,0.0
EXTRACTOR_LURE,0.9012875536480687,0.09871244635193133,0.0,0.0,0.0,0.0
FACE12_DENIAL,1.0,0.0,0.0,0.0,0.0,0.0
FACE15_DENIAL,1.0,0.0,0.0,0.0,0.0,0.0
FACE17_DENIAL,1.0,0.0,0.0,0.0,0.0,0.0
HOMOLOGY_PUNCTURE,1.0,0.0,0.0,0.0,0.0,0.0
H_MASK_SPLIT,1.0,0.0,0.0,0.0,0.0,0.0
KERNEL_DRIP,1.0,0.0,0.0,0.0,0.0,0.0
KERNEL_SPIKE,1.0,0.0,0.0,0.0,0.0,0.0
MONODROME_CONTAMINATOR,0.8425787106446776,0.15142428785607193,0.001499250374812584,0.001499250374812584,0.001499250374812584,0.001499250374812584
NONE,1.0,0.0,0.0,0.0,0.0,0.0
OMEGA_LOCK,1.0,0.0,0.0,0.0,0.0,0.0
RANDOM_JABBER,0.8637346791636628,0.10742609949531362,0.007209805335255931,0.007209805335255931,0.007209805335255931,0.007209805335255931
RANK4_TAX,1.0,0.0,0.0,0.0,0.0,0.0
