mode,mode_name,rank,jabber,loading,abs_loading
1,completion/J-pressure polarity,1,KERNEL_DRIP,0.33971956637015555,0.33971956637015555
1,completion/J-pressure polarity,2,CURVATURE_INJECTOR,0.3126849638356171,0.3126849638356171
1,completion/J-pressure polarity,3,BLUFF_ENGINE,0.2725714138463648,0.2725714138463648
1,completion/J-pressure polarity,4,NONE,0.26732230681591257,0.26732230681591257
1,completion/J-pressure polarity,5,H_MASK_SPLIT,0.261824262910963,0.261824262910963
1,completion/J-pressure polarity,6,FACE17_DENIAL,0.26063525398969245,0.26063525398969245
1,completion/J-pressure polarity,7,OMEGA_LOCK,0.2579704307548222,0.2579704307548222
1,completion/J-pressure polarity,8,EXTRACTOR_LURE,0.2567610292487622,0.2567610292487622
1,completion/J-pressure polarity,9,KERNEL_SPIKE,0.25301217842706514,0.25301217842706514
1,completion/J-pressure polarity,10,FACE15_DENIAL,0.24706044008691633,0.24706044008691633
1,completion/J-pressure polarity,11,FACE12_DENIAL,0.2404883784098286,0.2404883784098286
1,completion/J-pressure polarity,12,MONODROME_CONTAMINATOR,0.2360216746980776,0.2360216746980776
1,completion/J-pressure polarity,13,DIVERGENCE_TAX,0.22151418689784114,0.22151418689784114
1,completion/J-pressure polarity,14,RANK4_TAX,0.20086087686520598,0.20086087686520598
1,completion/J-pressure polarity,15,HOMOLOGY_PUNCTURE,0.14900954533881172,0.14900954533881172
1,completion/J-pressure polarity,16,RANDOM_JABBER,0.14796047672597382,0.14796047672597382
2,kernel-spike q4-loss polarity,1,KERNEL_SPIKE,0.6177061142490178,0.6177061142490178
2,kernel-spike q4-loss polarity,2,RANK4_TAX,0.37911918289734964,0.37911918289734964
2,kernel-spike q4-loss polarity,3,RANDOM_JABBER,0.2845877999497171,0.2845877999497171
2,kernel-spike q4-loss polarity,4,MONODROME_CONTAMINATOR,0.2615506899956226,0.2615506899956226
2,kernel-spike q4-loss polarity,5,NONE,-0.24500177990252403,0.24500177990252403
2,kernel-spike q4-loss polarity,6,OMEGA_LOCK,-0.22126451390623678,0.22126451390623678
2,kernel-spike q4-loss polarity,7,FACE17_DENIAL,-0.20727093028980842,0.20727093028980842
2,kernel-spike q4-loss polarity,8,BLUFF_ENGINE,0.20209985242438244,0.20209985242438244
2,kernel-spike q4-loss polarity,9,FACE12_DENIAL,-0.19787346913200948,0.19787346913200948
2,kernel-spike q4-loss polarity,10,H_MASK_SPLIT,-0.1775286488976542,0.1775286488976542
2,kernel-spike q4-loss polarity,11,FACE15_DENIAL,-0.16453087342750167,0.16453087342750167
2,kernel-spike q4-loss polarity,12,CURVATURE_INJECTOR,-0.11560891175141702,0.11560891175141702
2,kernel-spike q4-loss polarity,13,DIVERGENCE_TAX,-0.10343961886795175,0.10343961886795175
2,kernel-spike q4-loss polarity,14,HOMOLOGY_PUNCTURE,-0.1001282060230755,0.1001282060230755
2,kernel-spike q4-loss polarity,15,KERNEL_DRIP,-0.024643293022346583,0.024643293022346583
2,kernel-spike q4-loss polarity,16,EXTRACTOR_LURE,0.008972851365771754,0.008972851365771754
