partial_candidate_id,normalized_tail_template_id,tail_entry_carrier_id,splice_path_count,rank104_template_match_flag,tail_carrier_0_id,tail_carrier_1_id,tail_carrier_2_id,tail_carrier_3_id,tail_carrier_4_id,tail_carrier_5_id,tail_cell_edge_0_id,tail_cell_edge_1_id,tail_cell_edge_2_id,tail_cell_edge_3_id,tail_cell_edge_4_id,tail_selected_atom_0_id,tail_selected_atom_1_id,tail_selected_atom_2_id,tail_selected_atom_3_id,tail_selected_atom_4_id
19,0,9,4,1,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
19,1,9,4,1,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
19,2,9,4,1,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
19,3,10,4,1,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
19,4,13,4,0,13,10,3,8,13,12,40,12,11,33,43,19,7,4,12,19
19,5,13,4,0,13,10,11,8,13,12,40,38,31,33,43,19,7,4,12,19
19,6,13,4,0,13,11,3,8,13,12,42,13,11,33,43,19,7,4,12,19
20,0,9,4,1,9,10,3,8,13,12,34,12,11,33,43,19,7,4,12,19
20,1,9,4,1,9,10,11,8,13,12,34,38,31,33,43,19,7,4,12,19
20,2,9,4,1,9,11,3,8,13,12,35,13,11,33,43,19,7,4,12,19
20,3,10,4,1,10,11,3,8,13,12,38,13,11,33,43,19,7,4,12,19
20,4,13,4,0,13,10,3,8,13,12,40,12,11,33,43,19,7,4,12,19
20,5,13,4,0,13,10,11,8,13,12,40,38,31,33,43,19,7,4,12,19
20,6,13,4,0,13,11,3,8,13,12,42,13,11,33,43,19,7,4,12,19
