stabilizer_id,order,fixed_point_count,moved_point_count,image_00,image_01,image_02,image_03,image_04,image_05,image_06,image_07,image_08,image_09,image_10,image_11,image_12,image_13,image_14,image_15,image_16,image_17,image_18,image_19,image_20,image_21,image_22
0,1,23,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,3,5,18,0,1,2,3,4,11,12,13,14,15,16,17,18,19,20,21,22,5,6,7,8,9,10
2,3,5,18,0,1,2,3,4,17,18,19,20,21,22,5,6,7,8,9,10,11,12,13,14,15,16
3,2,7,16,0,1,2,3,5,4,19,14,21,12,10,17,9,15,7,13,16,11,20,6,18,8,22
4,3,5,18,0,1,2,3,5,11,20,6,18,8,22,4,19,14,21,12,10,17,9,15,7,13,16
5,3,5,18,0,1,2,3,5,17,9,15,7,13,16,11,20,6,18,8,22,4,19,14,21,12,10
6,3,5,18,0,1,2,3,6,8,18,14,13,7,16,21,12,5,9,17,22,19,4,15,11,20,10
7,2,7,16,0,1,2,3,6,19,4,15,11,20,10,8,18,14,13,7,16,21,12,5,9,17,22
8,3,5,18,0,1,2,3,6,21,12,5,9,17,22,19,4,15,11,20,10,8,18,14,13,7,16
9,3,5,18,0,1,2,3,7,9,8,13,21,20,22,14,15,4,18,17,10,12,11,19,5,6,16
10,3,5,18,0,1,2,3,7,12,11,19,5,6,16,9,8,13,21,20,22,14,15,4,18,17,10
11,2,7,16,0,1,2,3,7,14,15,4,18,17,10,12,11,19,5,6,16,9,8,13,21,20,22
12,3,5,18,0,1,2,3,8,6,15,9,20,12,16,19,7,17,14,5,22,21,11,18,4,13,10
13,3,5,18,0,1,2,3,8,19,7,17,14,5,22,21,11,18,4,13,10,6,15,9,20,12,16
14,2,7,16,0,1,2,3,8,21,11,18,4,13,10,6,15,9,20,12,16,19,7,17,14,5,22
15,3,5,18,0,1,2,3,9,7,19,18,6,15,22,12,20,17,13,4,10,14,5,8,11,21,16
16,2,7,16,0,1,2,3,9,12,20,17,13,4,10,14,5,8,11,21,16,7,19,18,6,15,22
17,3,5,18,0,1,2,3,9,14,5,8,11,21,16,7,19,18,6,15,22,12,20,17,13,4,10
18,3,5,18,0,1,2,3,11,4,7,20,9,18,16,5,15,21,13,19,22,17,8,12,6,14,10
19,3,5,18,0,1,2,3,11,5,15,21,13,19,22,17,8,12,6,14,10,4,7,20,9,18,16
20,2,7,16,0,1,2,3,11,17,8,12,6,14,10,4,7,20,9,18,16,5,15,21,13,19,22
21,3,5,18,0,1,2,3,12,7,4,21,17,8,16,14,6,20,19,13,22,9,18,11,15,5,10
22,2,7,16,0,1,2,3,12,9,18,11,15,5,10,7,4,21,17,8,16,14,6,20,19,13,22
23,3,5,18,0,1,2,3,12,14,6,20,19,13,22,9,18,11,15,5,10,7,4,21,17,8,16
24,2,7,16,0,1,2,3,13,15,14,19,9,8,10,20,21,4,6,5,16,18,17,7,11,12,22
25,3,5,18,0,1,2,3,13,18,17,7,11,12,22,15,14,19,9,8,10,20,21,4,6,5,16
26,3,5,18,0,1,2,3,13,20,21,4,6,5,16,18,17,7,11,12,22,15,14,19,9,8,10
27,2,7,16,0,1,2,3,14,7,13,5,20,11,10,9,17,6,4,19,16,12,21,15,8,18,22
28,3,5,18,0,1,2,3,14,9,17,6,4,19,16,12,21,15,8,18,22,7,13,5,20,11,10
29,3,5,18,0,1,2,3,14,12,21,15,8,18,22,7,13,5,20,11,10,9,17,6,4,19,16
30,2,7,16,0,1,2,3,15,13,7,6,12,21,10,18,8,5,19,4,16,20,11,14,17,9,22
31,3,5,18,0,1,2,3,15,18,8,5,19,4,16,20,11,14,17,9,22,13,7,6,12,21,10
32,3,5,18,0,1,2,3,15,20,11,14,17,9,22,13,7,6,12,21,10,18,8,5,19,4,16
33,3,5,18,0,1,2,3,17,4,13,8,15,6,22,11,21,9,19,7,10,5,14,18,12,20,16
34,3,5,18,0,1,2,3,17,5,14,18,12,20,16,4,13,8,15,6,22,11,21,9,19,7,10
35,2,7,16,0,1,2,3,17,11,21,9,19,7,10,5,14,18,12,20,16,4,13,8,15,6,22
36,3,5,18,0,1,2,3,18,13,4,9,5,14,22,20,12,8,7,19,10,15,6,17,21,11,16
37,3,5,18,0,1,2,3,18,15,6,17,21,11,16,13,4,9,5,14,22,20,12,8,7,19,10
38,2,7,16,0,1,2,3,18,20,12,8,7,19,10,15,6,17,21,11,16,13,4,9,5,14,22
39,2,7,16,0,1,2,3,19,6,5,13,17,18,10,21,20,7,15,14,16,8,9,4,12,11,22
40,3,5,18,0,1,2,3,19,8,9,4,12,11,22,6,5,13,17,18,10,21,20,7,15,14,16
41,3,5,18,0,1,2,3,19,21,20,7,15,14,16,8,9,4,12,11,22,6,5,13,17,18,10
42,3,5,18,0,1,2,3,20,13,19,11,8,17,16,15,5,12,4,7,22,18,9,21,14,6,10
43,3,5,18,0,1,2,3,20,15,5,12,4,7,22,18,9,21,14,6,10,13,19,11,8,17,16
44,2,7,16,0,1,2,3,20,18,9,21,14,6,10,13,19,11,8,17,16,15,5,12,4,7,22
45,3,5,18,0,1,2,3,21,6,14,11,7,4,22,8,17,20,5,15,10,19,13,12,18,9,16
46,2,7,16,0,1,2,3,21,8,17,20,5,15,10,19,13,12,18,9,16,6,14,11,7,4,22
47,3,5,18,0,1,2,3,21,19,13,12,18,9,16,6,14,11,7,4,22,8,17,20,5,15,10
