generator_index,generator,source_index,source_label,target_index,target_label,sign
2,s4_perm_2,4,B-∧S-,9,B+∧S+,1
2,s4_perm_2,5,B-∧S+,8,B+∧S-,1
2,s4_perm_2,6,B+∧V-,2,B-∧V-,1
2,s4_perm_2,7,B+∧V+,3,B-∧V+,1
2,s4_perm_2,8,B+∧S-,5,B-∧S+,1
2,s4_perm_2,9,B+∧S+,4,B-∧S-,1
2,s4_perm_2,10,V-∧V+,10,V-∧V+,1
2,s4_perm_2,11,V-∧S-,12,V-∧S+,1
2,s4_perm_2,12,V-∧S+,11,V-∧S-,1
2,s4_perm_2,13,V+∧S-,14,V+∧S+,1
2,s4_perm_2,14,V+∧S+,13,V+∧S-,1
2,s4_perm_2,15,S-∧S+,15,S-∧S+,-1
3,s4_perm_3,0,unit,0,unit,1
3,s4_perm_3,1,B-∧B+,10,V-∧V+,1
3,s4_perm_3,2,B-∧V-,2,B-∧V-,-1
3,s4_perm_3,3,B-∧V+,6,B+∧V-,-1
3,s4_perm_3,4,B-∧S-,11,V-∧S-,1
3,s4_perm_3,5,B-∧S+,12,V-∧S+,1
3,s4_perm_3,6,B+∧V-,3,B-∧V+,-1
3,s4_perm_3,7,B+∧V+,7,B+∧V+,-1
3,s4_perm_3,8,B+∧S-,13,V+∧S-,1
3,s4_perm_3,9,B+∧S+,14,V+∧S+,1
3,s4_perm_3,10,V-∧V+,1,B-∧B+,1
3,s4_perm_3,11,V-∧S-,4,B-∧S-,1
3,s4_perm_3,12,V-∧S+,5,B-∧S+,1
3,s4_perm_3,13,V+∧S-,8,B+∧S-,1
3,s4_perm_3,14,V+∧S+,9,B+∧S+,1
3,s4_perm_3,15,S-∧S+,15,S-∧S+,1
4,even_sign_flip_0,0,unit,0,unit,1
4,even_sign_flip_0,1,B-∧B+,1,B-∧B+,1
4,even_sign_flip_0,2,B-∧V-,2,B-∧V-,-1
4,even_sign_flip_0,3,B-∧V+,3,B-∧V+,-1
4,even_sign_flip_0,4,B-∧S-,4,B-∧S-,-1
4,even_sign_flip_0,5,B-∧S+,5,B-∧S+,-1
4,even_sign_flip_0,6,B+∧V-,6,B+∧V-,-1
4,even_sign_flip_0,7,B+∧V+,7,B+∧V+,-1
4,even_sign_flip_0,8,B+∧S-,8,B+∧S-,-1
4,even_sign_flip_0,9,B+∧S+,9,B+∧S+,-1
4,even_sign_flip_0,10,V-∧V+,10,V-∧V+,1
4,even_sign_flip_0,11,V-∧S-,11,V-∧S-,1
4,even_sign_flip_0,12,V-∧S+,12,V-∧S+,1
4,even_sign_flip_0,13,V+∧S-,13,V+∧S-,1
4,even_sign_flip_0,14,V+∧S+,14,V+∧S+,1
4,even_sign_flip_0,15,S-∧S+,15,S-∧S+,1
5,even_sign_flip_1,0,unit,0,unit,1
5,even_sign_flip_1,1,B-∧B+,1,B-∧B+,-1
5,even_sign_flip_1,2,B-∧V-,2,B-∧V-,1
5,even_sign_flip_1,3,B-∧V+,3,B-∧V+,-1
5,even_sign_flip_1,4,B-∧S-,4,B-∧S-,-1
5,even_sign_flip_1,5,B-∧S+,5,B-∧S+,-1
5,even_sign_flip_1,6,B+∧V-,6,B+∧V-,-1
5,even_sign_flip_1,7,B+∧V+,7,B+∧V+,1
5,even_sign_flip_1,8,B+∧S-,8,B+∧S-,1
5,even_sign_flip_1,9,B+∧S+,9,B+∧S+,1
5,even_sign_flip_1,10,V-∧V+,10,V-∧V+,-1
5,even_sign_flip_1,11,V-∧S-,11,V-∧S-,-1
5,even_sign_flip_1,12,V-∧S+,12,V-∧S+,-1
5,even_sign_flip_1,13,V+∧S-,13,V+∧S-,1
5,even_sign_flip_1,14,V+∧S+,14,V+∧S+,1
5,even_sign_flip_1,15,S-∧S+,15,S-∧S+,1
6,even_sign_flip_2,0,unit,0,unit,1
6,even_sign_flip_2,1,B-∧B+,1,B-∧B+,-1
6,even_sign_flip_2,2,B-∧V-,2,B-∧V-,-1
6,even_sign_flip_2,3,B-∧V+,3,B-∧V+,1
6,even_sign_flip_2,4,B-∧S-,4,B-∧S-,-1
6,even_sign_flip_2,5,B-∧S+,5,B-∧S+,-1
6,even_sign_flip_2,6,B+∧V-,6,B+∧V-,1
6,even_sign_flip_2,7,B+∧V+,7,B+∧V+,-1
6,even_sign_flip_2,8,B+∧S-,8,B+∧S-,1
6,even_sign_flip_2,9,B+∧S+,9,B+∧S+,1
6,even_sign_flip_2,10,V-∧V+,10,V-∧V+,-1
6,even_sign_flip_2,11,V-∧S-,11,V-∧S-,1
6,even_sign_flip_2,12,V-∧S+,12,V-∧S+,1
6,even_sign_flip_2,13,V+∧S-,13,V+∧S-,-1
6,even_sign_flip_2,14,V+∧S+,14,V+∧S+,-1
6,even_sign_flip_2,15,S-∧S+,15,S-∧S+,1
7,even_sign_flip_3,0,unit,0,unit,1
7,even_sign_flip_3,1,B-∧B+,1,B-∧B+,-1
7,even_sign_flip_3,2,B-∧V-,2,B-∧V-,-1
7,even_sign_flip_3,3,B-∧V+,3,B-∧V+,-1
7,even_sign_flip_3,4,B-∧S-,4,B-∧S-,1
7,even_sign_flip_3,5,B-∧S+,5,B-∧S+,-1
7,even_sign_flip_3,6,B+∧V-,6,B+∧V-,1
7,even_sign_flip_3,7,B+∧V+,7,B+∧V+,1
7,even_sign_flip_3,8,B+∧S-,8,B+∧S-,-1
7,even_sign_flip_3,9,B+∧S+,9,B+∧S+,1
7,even_sign_flip_3,10,V-∧V+,10,V-∧V+,1
7,even_sign_flip_3,11,V-∧S-,11,V-∧S-,-1
7,even_sign_flip_3,12,V-∧S+,12,V-∧S+,1
7,even_sign_flip_3,13,V+∧S-,13,V+∧S-,-1
7,even_sign_flip_3,14,V+∧S+,14,V+∧S+,1
7,even_sign_flip_3,15,S-∧S+,15,S-∧S+,-1
8,even_sign_flip_4,0,unit,0,unit,1
8,even_sign_flip_4,1,B-∧B+,1,B-∧B+,-1
8,even_sign_flip_4,2,B-∧V-,2,B-∧V-,-1
8,even_sign_flip_4,3,B-∧V+,3,B-∧V+,-1
8,even_sign_flip_4,4,B-∧S-,4,B-∧S-,-1
8,even_sign_flip_4,5,B-∧S+,5,B-∧S+,1
8,even_sign_flip_4,6,B+∧V-,6,B+∧V-,1
8,even_sign_flip_4,7,B+∧V+,7,B+∧V+,1
8,even_sign_flip_4,8,B+∧S-,8,B+∧S-,1
8,even_sign_flip_4,9,B+∧S+,9,B+∧S+,-1
8,even_sign_flip_4,10,V-∧V+,10,V-∧V+,1
8,even_sign_flip_4,11,V-∧S-,11,V-∧S-,1
8,even_sign_flip_4,12,V-∧S+,12,V-∧S+,-1
8,even_sign_flip_4,13,V+∧S-,13,V+∧S-,1
8,even_sign_flip_4,14,V+∧S+,14,V+∧S+,-1
8,even_sign_flip_4,15,S-∧S+,15,S-∧S+,-1
