matrix,diagnostic,value
A985_object_pair_pair3_raw,active_BplusS_vs_V_energy_fraction,0.831439689004622
A985_object_pair_pair3_raw,excluded_BminusS_energy_fraction,0.16856031099537805
A985_object_pair_pair3_raw,active_relative_error,0.4105609711058493
A985_object_pair_pair3_raw,participation_rank,1.5224010148894969
A985_object_pair_pair3_raw,active_participation_rank,1.3746154824231687
A985_object_pair_pair3_orbit_normalized,active_BplusS_vs_V_energy_fraction,0.9572935294974962
A985_object_pair_pair3_orbit_normalized,excluded_BminusS_energy_fraction,0.04270647050250369
A985_object_pair_pair3_orbit_normalized,active_relative_error,0.20665543908279715
A985_object_pair_pair3_orbit_normalized,participation_rank,1.6481204837605536
A985_object_pair_pair3_orbit_normalized,active_participation_rank,1.4251960250906757
