builder,F7_minus_L3,L3_minus_P1,P1_point
BASIN_SWITCHER,0.0,0.0,1.0
BLUFF_REVEAL,0.026041666666666668,0.08984375,0.8841145833333334
CURVATURE_ZERO,0.00390625,0.1875,0.80859375
DIVERGENCE_MIN,0.0,0.0,1.0
EMERGENCE_SEEKER,0.0,0.0,1.0
FACE12_ANCHOR,0.0,0.0,1.0
FACE15_ANCHOR,0.0,0.0,1.0
FACE17_ANCHOR,0.0,0.0,1.0
H2047_PURIST,0.0,0.1015625,0.8984375
H954_CORRIDOR,0.0,0.0,1.0
MONODROME_PURIST,0.0013020833333333333,0.12109375,0.8776041666666666
Q4_BALANCER,0.0,0.03515625,0.96484375
ROBUST_REVEAL,0.005208333333333333,0.1328125,0.8619791666666666
SIGMA_MIN,0.006510416666666667,0.13020833333333334,0.86328125
SPREAD_CONTROL,0.0013020833333333333,0.06510416666666667,0.93359375
STOCHASTIC_CONTROL,0.0,0.0,1.0
